PGAMpnId,TrainingActivityId,TrainingTitle,TrainingType,IndividualFirstName,IndividualLastName,Email,CorpEmail,TrainingCompletionDate,ExpirationDate,ActivationStatus,Month,MPNId,PartnerName,PartnerCityLocation,PartnerCountryLocation,AADUserId,UserCount
1234567,AZ-104,Microsoft Azure Administrator,Exam,Caroline,Murphy,caroline.murphy@example.com,caroline.murphy@contoso.com,2019-12-26T00:00:00.000Z,,Active,Dec-2019,1234567,Contoso,Reading,UnitedKingdom,f993156f-4a57-5e9f-b206-6f5ad8c9cf0a,1
1234567,DP-600,Implementing Analytics Solutions Using Microsoft Fabric,Exam,Leonard,Dawson,leonard.dawson@example.com,leonard.dawson@contoso.com,2020-12-19T00:00:00.000Z,,Active,Dec-2020,1234567,Contoso,Reading,UnitedKingdom,cd7638f8-7b3b-5811-9f05-a34e41685cb3,1
1234567,MS-500,Microsoft 365 Security Administration,Exam,Karl,Turner,karl.turner@example.com,karl.turner@contoso.com,2021-12-16T00:00:00.000Z,,Active,Dec-2021,1234567,Contoso,Reading,UnitedKingdom,4d3b64c1-b062-5701-ab13-d0fe07c18da1,1
1234567,AI-900,Microsoft Azure AI Fundamentals,Exam,Elaine,Khan,elaine.khan@example.com,elaine.khan@contoso.com,2026-02-11T00:00:00.000Z,,Active,Feb-2026,1234567,Contoso,Reading,UnitedKingdom,cf2fec8d-40ce-55a0-a69f-d1705f1d0246,1
1234567,3146,Microsoft Certified: Azure AI Fundamentals,Certification,Melissa,Johnson,melissa.johnson@example.com,melissa.johnson@contoso.com,2023-04-13T00:00:00.000Z,,Active,Apr-2023,1234567,Contoso,Reading,UnitedKingdom,c1fec8ca-7b7b-5020-8b54-4717d32e3f1a,1
1234567,3231,Microsoft Certified: Information Security Administrator Associate,Certification,Paige,Chapman,paige.chapman@example.com,paige.chapman@contoso.com,2023-08-29T00:00:00.000Z,2026-10-31 00:00:00,Active,Aug-2023,1234567,Contoso,Reading,UnitedKingdom,59c1fc7d-9636-5f92-859c-bfe12ae8113d,1
1234567,3227,Microsoft Certified: Fabric Analytics Engineer Associate,Certification,Charlie,Wilson,charlie.wilson@example.com,charlie.wilson@contoso.com,2025-04-25T00:00:00.000Z,2027-04-25 00:00:00,Active,Apr-2025,1234567,Contoso,Reading,UnitedKingdom,c58ddfd6-14c1-55f8-8b5e-26d2768eb273,1
1234567,3088,Microsoft Certified: Azure Data Engineer Associate,Certification,Maria,Baker,maria.baker@example.com,maria.baker@contoso.com,2023-03-13T00:00:00.000Z,2026-11-15 00:00:00,Active,Mar-2023,1234567,Contoso,Reading,UnitedKingdom,092fe5b2-001b-50d5-8d89-92c758519f61,1
1234567,GH-300,GitHub Copilot,Exam,Karen,Ashton,karen.ashton@example.com,karen.ashton@contoso.com,2025-12-13T00:00:00.000Z,,Active,Dec-2025,1234567,Contoso,Reading,UnitedKingdom,78d98294-77bc-53c3-b392-af3b5ecf0fd6,1
1234567,AZ-104,Microsoft Azure Administrator,Exam,Catherine,Walker,catherine.walker@example.com,catherine.walker@contoso.com,2021-11-16T00:00:00.000Z,,Active,Nov-2021,1234567,Contoso,Reading,UnitedKingdom,5be2d7f8-3a7a-5252-ad6c-f4fd32a43ac4,1
1234567,DP-900,Microsoft Azure Data Fundamentals,Exam,Jessica,Watkins,jessica.watkins@example.com,jessica.watkins@contoso.com,2020-07-22T00:00:00.000Z,,Active,Jul-2020,1234567,Contoso,Reading,UnitedKingdom,d899bd61-4409-5c1e-9612-864e0261ce4d,1
1234567,AZ-104,Microsoft Azure Administrator,Exam,Tracy,Smart,tracy.smart@example.com,tracy.smart@contoso.com,2024-10-21T00:00:00.000Z,,Active,Oct-2024,1234567,Contoso,Reading,UnitedKingdom,648cd4e6-e9f0-55c6-ac24-e9e3822504f7,1
1234567,PL-400,Microsoft Power Platform Developer,Exam,Judith,Cooke,judith.cooke@example.com,judith.cooke@contoso.com,2023-01-13T00:00:00.000Z,,Active,Jan-2023,1234567,Contoso,Reading,UnitedKingdom,e38ece46-5f2c-5c09-965f-f6bad4069017,1
1234567,3088,Microsoft Certified: Azure Data Engineer Associate,Certification,Jeremy,Marshall,jeremy.marshall@example.com,jeremy.marshall@contoso.com,2019-12-17T00:00:00.000Z,2027-01-11 00:00:00,Active,Dec-2019,1234567,Contoso,Reading,UnitedKingdom,efae92f8-d96e-57ab-bffd-32ab286e2de9,1
1234567,DP-900,Microsoft Azure Data Fundamentals,Exam,Leonard,Wallace,leonard.wallace@example.com,leonard.wallace@contoso.com,2021-06-08T00:00:00.000Z,,Active,Jun-2021,1234567,Contoso,Reading,UnitedKingdom,199ba643-5f64-5ae8-970c-bb0b608c5334,1
1234567,PL-200,Microsoft Power Platform Functional Consultant,Exam,Alice,Yates,alice.yates@example.com,alice.yates@contoso.com,2020-05-03T00:00:00.000Z,,Active,May-2020,1234567,Contoso,Reading,UnitedKingdom,bcfdd90f-3ef9-5948-8e55-0d6aa26c43c7,1
1234567,MS-500,Microsoft 365 Security Administration,Exam,Ross,Thompson,ross.thompson@example.com,ross.thompson@contoso.com,2026-07-02T00:00:00.000Z,,Active,Jul-2026,1234567,Contoso,Reading,UnitedKingdom,7ea74880-ddd5-5f54-8892-a4e82ba273d6,1
1234567,3140,Microsoft Certified: Azure Developer Associate,Certification,Harry,Khan,harry.khan@example.com,harry.khan@contoso.com,2024-11-05T00:00:00.000Z,2027-11-05 00:00:00,Active,Nov-2024,1234567,Contoso,Reading,UnitedKingdom,9af9dc2d-3ca4-5259-a98c-7b6c10e4829e,1
1234567,AZ-500,Microsoft Azure Security Technologies,Exam,Richard,Page,richard.page@example.com,richard.page@contoso.com,2019-12-29T00:00:00.000Z,,Active,Dec-2019,1234567,Contoso,Reading,UnitedKingdom,a451dee7-fa0f-58f6-bcab-c58493f5bc3d,1
1234567,PL-600,Microsoft Power Platform Solution Architect,Exam,Sarah,Davies,sarah.davies@example.com,sarah.davies@contoso.com,2023-03-31T00:00:00.000Z,,Active,Mar-2023,1234567,Contoso,Reading,UnitedKingdom,e69c0af2-97ee-52cf-bc95-c2a0241fba1d,1
1234567,MB-230,Microsoft Dynamics 365 Customer Service Functional Consultant,Exam,Alex,Fowler,alex.fowler@example.com,alex.fowler@contoso.com,2019-01-22T00:00:00.000Z,,Active,Jan-2019,1234567,Contoso,Reading,UnitedKingdom,47529e51-5e3b-593a-8022-58363e2c9161,1
1234567,MB-800,Microsoft Dynamics 365 Business Central Functional Consultant,Exam,Gareth,Howe,gareth.howe@example.com,gareth.howe@contoso.com,2021-01-09T00:00:00.000Z,,Active,Jan-2021,1234567,Contoso,Reading,UnitedKingdom,bf4fda71-e33b-5291-91f7-e702525910c1,1
1234567,3162,Microsoft Certified: Azure Solutions Architect Expert,Certification,Barry,Kelly,barry.kelly@example.com,barry.kelly@contoso.com,2023-08-21T00:00:00.000Z,2026-11-07 00:00:00,Active,Aug-2023,1234567,Contoso,Reading,UnitedKingdom,0e8ac5d6-b476-53ee-a443-cde800f1ed2c,1
1234567,3088,Microsoft Certified: Azure Data Engineer Associate,Certification,Dylan,Simmons,dylan.simmons@example.com,dylan.simmons@contoso.com,2019-06-30T00:00:00.000Z,2027-03-02 00:00:00,Active,Jun-2019,1234567,Contoso,Reading,UnitedKingdom,5084a1f4-587e-52e9-b2c7-78911a6f2542,1
1234567,PL-500,Microsoft Power Automate RPA Developer,Exam,June,Ryan,june.ryan@example.com,june.ryan@contoso.com,2024-05-04T00:00:00.000Z,,Active,May-2024,1234567,Contoso,Reading,UnitedKingdom,9e432b72-1e48-5e5f-82fd-6a283c25de01,1
1234567,3142,Microsoft Certified: Power BI Data Analyst Associate,Certification,Rachael,Manning,rachael.manning@example.com,rachael.manning@contoso.com,2025-08-10T00:00:00.000Z,2027-08-10 00:00:00,Active,Aug-2025,1234567,Contoso,Reading,UnitedKingdom,fe128fa6-adf4-51e7-b64a-e2f1e62e3450,1
1234567,3182,"Microsoft Certified: Security, Compliance, and Identity Fundamentals",Certification,Donna,Johnson,donna.johnson@example.com,donna.johnson@contoso.com,2023-01-06T00:00:00.000Z,,Active,Jan-2023,1234567,Contoso,Reading,UnitedKingdom,2407e556-084a-5dcb-a523-6734a266078f,1
1234567,PL-300,Microsoft Power BI Data Analyst,Exam,Beverley,Mason,beverley.mason@example.com,beverley.mason@contoso.com,2023-08-29T00:00:00.000Z,,Active,Aug-2023,1234567,Contoso,Reading,UnitedKingdom,92a8a5b0-c5a9-5ad8-b441-0bd519443369,1
1234567,DP-203,Data Engineering on Microsoft Azure,Exam,Ashley,Cole,ashley.cole@example.com,ashley.cole@contoso.com,2022-03-08T00:00:00.000Z,,Active,Mar-2022,1234567,Contoso,Reading,UnitedKingdom,e82297d3-3aa5-59ef-97a0-f708b188d7f6,1
1234567,3162,Microsoft Certified: Azure Solutions Architect Expert,Certification,Diane,Russell,diane.russell@example.com,diane.russell@contoso.com,2024-10-16T00:00:00.000Z,2026-10-16 00:00:00,Active,Oct-2024,1234567,Contoso,Reading,UnitedKingdom,c6f6c3a6-eb40-5577-9a63-1e92289ade34,1
1234567,3232,GitHub Copilot,Certification,Yvonne,Page,yvonne.page@example.com,yvonne.page@contoso.com,2026-08-26T00:00:00.000Z,2027-08-26 00:00:00,Active,Aug-2026,1234567,Contoso,Reading,UnitedKingdom,e8bf2d59-6b7b-535b-829d-251238a0146b,1
1234567,GH-300,GitHub Copilot,Exam,Jenna,Collins,jenna.collins@example.com,jenna.collins@contoso.com,2025-12-07T00:00:00.000Z,,Active,Dec-2025,1234567,Contoso,Reading,UnitedKingdom,32faf801-35cf-5a2e-9c09-9043992eb32a,1
1234567,3154,Microsoft Certified: Power Platform Developer Associate,Certification,Peter,Lloyd,peter.lloyd@example.com,peter.lloyd@contoso.com,2022-08-16T00:00:00.000Z,2027-01-18 00:00:00,Active,Aug-2022,1234567,Contoso,Reading,UnitedKingdom,c0950c11-d362-54ed-9bb5-3c8505745f6b,1
